# age(yr) logL logTe m_act mcore c/o period ip Mdot(Msun/yr) logTe X Y CNO dlogTe/dlogL 
 0.6000 9 # agb_0.600_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9535 3.5701 0.60000 0.50173 0.4468 2.9621e+01 1 2.0417e-08 3.5701 7.238000e-01 2.703400e-01 3.976940e-03 -0.1013 
1.8755e+05 3.0668 3.5580 0.59540 0.50286 0.4468 7.9235e+01 0 3.8194e-08 3.5580 7.238000e-01 2.703400e-01 3.976940e-03 -0.1013 
4.0897e+05 3.0685 3.5589 0.58890 0.50451 0.4468 7.9680e+01 0 3.9174e-08 3.5589 7.238000e-01 2.703400e-01 3.976940e-03 -0.1027 
6.0346e+05 3.1248 3.5534 0.58298 0.50594 0.4468 9.5776e+01 0 5.4576e-08 3.5534 7.238000e-01 2.703400e-01 3.976940e-03 -0.1027 
6.3523e+05 3.1196 3.5544 0.58124 0.50641 0.4468 9.4069e+01 0 5.3211e-08 3.5544 7.238000e-01 2.703400e-01 3.976940e-03 -0.1045 
8.9825e+05 3.1253 3.5568 0.57001 0.50912 0.4468 9.4964e+01 0 5.6234e-08 3.5568 7.238000e-01 2.703400e-01 3.976940e-03 -0.1045 
1.1673e+06 3.1541 3.5588 0.55618 0.51221 0.4468 1.0163e+02 0 6.7920e-08 3.5588 7.238000e-01 2.703400e-01 3.976940e-03 -0.1043 
1.4436e+06 3.1900 3.5676 0.53864 0.51576 0.4468 1.0486e+02 0 8.4140e-08 3.5676 7.238000e-01 2.703400e-01 3.976940e-03 -0.1043 
1.6653e+06 3.2375 3.5950 0.52362 0.51840 0.4468 9.3590e+01 0 1.0233e-07 3.5950 7.238000e-01 2.703400e-01 3.976940e-03 999.0000 
 0.6200 8 # agb_0.62_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9846 3.5662 0.62000 0.50341 0.4522 3.1707e+01 1 2.2803e-08 3.5662 7.238000e-01 2.702830e-01 3.975259e-03 -0.1034 
1.9176e+05 3.0631 3.5577 0.61476 0.50469 0.4522 7.6595e+01 0 3.5481e-08 3.5577 7.238000e-01 2.702830e-01 3.975259e-03 -0.1034 
4.0014e+05 3.1098 3.5530 0.60810 0.50633 0.4522 8.9508e+01 0 4.6881e-08 3.5530 7.238000e-01 2.702830e-01 3.975259e-03 -0.1061 
6.2896e+05 3.1474 3.5497 0.59933 0.50846 0.4522 1.0156e+02 0 5.9293e-08 3.5497 7.238000e-01 2.702830e-01 3.975259e-03 -0.1076 
8.8423e+05 3.1700 3.5493 0.58711 0.51130 0.4522 1.0918e+02 0 6.9502e-08 3.5493 7.238000e-01 2.702830e-01 3.975259e-03 -0.1072 
1.1535e+06 3.1935 3.5511 0.57118 0.51470 0.4522 1.1615e+02 0 8.2224e-08 3.5511 7.238000e-01 2.702830e-01 3.975259e-03 -0.1075 
1.4306e+06 3.2220 3.5586 0.55040 0.51865 0.4522 1.1961e+02 0 9.9312e-08 3.5586 7.238000e-01 2.702830e-01 3.975259e-03 -0.1026 
1.6866e+06 3.2751 3.5940 0.52763 0.52249 0.4522 1.0196e+02 0 1.2359e-07 3.5940 7.238000e-01 2.702830e-01 3.975259e-03 999.0000 
 0.6500 8 # agb_0.65_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0339 3.5606 0.65000 0.50572 0.4577 3.5293e+01 1 2.7479e-08 3.5606 7.238000e-01 2.702360e-01 3.973461e-03 -0.1068 
1.8234e+05 3.1300 3.5494 0.64431 0.50705 0.4577 9.1775e+01 0 4.7643e-08 3.5494 7.238000e-01 2.702360e-01 3.973461e-03 -0.1063 
3.9542e+05 3.1472 3.5478 0.63608 0.50901 0.4577 9.7840e+01 0 5.3703e-08 3.5478 7.238000e-01 2.702360e-01 3.973461e-03 -0.1075 
6.2611e+05 3.1804 3.5447 0.62519 0.51153 0.4577 1.1005e+02 0 6.6834e-08 3.5447 7.238000e-01 2.702360e-01 3.973461e-03 -0.1104 
8.7290e+05 3.2202 3.5415 0.61089 0.51465 0.4577 1.2644e+02 0 8.7297e-08 3.5415 7.238000e-01 2.702360e-01 3.973461e-03 -0.1118 
1.1403e+06 3.2463 3.5422 0.59089 0.51858 0.4577 1.3721e+02 0 1.0641e-07 3.5422 7.238000e-01 2.702360e-01 3.973461e-03 -0.1114 
1.4100e+06 3.2806 3.5482 0.56470 0.52300 0.4577 1.4625e+02 0 1.3583e-07 3.5482 7.238000e-01 2.702360e-01 3.973461e-03 -0.1091 
1.6714e+06 3.3239 3.5906 0.53316 0.52771 0.4577 1.1611e+02 0 1.5922e-07 3.5906 7.238000e-01 2.702360e-01 3.973461e-03 999.0000 
 0.6600 10 # agb_0.66_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 2.9837 3.5661 0.66000 0.50558 0.4648 3.0682e+01 1 2.0464e-08 3.5661 7.239000e-01 2.702640e-01 3.970987e-03 -0.1032 
1.8527e+05 3.0760 3.5559 0.65539 0.50682 0.4648 7.5633e+01 0 3.4198e-08 3.5559 7.239000e-01 2.702640e-01 3.970987e-03 -0.1060 
3.8878e+05 3.1181 3.5511 0.64948 0.50844 0.4648 8.7413e+01 0 4.3853e-08 3.5511 7.239000e-01 2.702640e-01 3.970987e-03 -0.1061 
6.1370e+05 3.1482 3.5479 0.64169 0.51055 0.4648 9.7221e+01 0 5.3088e-08 3.5479 7.239000e-01 2.702640e-01 3.970987e-03 -0.1067 
8.6923e+05 3.1567 3.5479 0.63055 0.51344 0.4648 1.0064e+02 0 5.7280e-08 3.5479 7.239000e-01 2.702640e-01 3.970987e-03 -0.1096 
1.1309e+06 3.1871 3.5458 0.61641 0.51678 0.4648 1.1209e+02 0 7.0795e-08 3.5458 7.239000e-01 2.702640e-01 3.970987e-03 -0.1122 
1.3969e+06 3.2266 3.5443 0.59813 0.52056 0.4648 1.2750e+02 0 9.2897e-08 3.5443 7.239000e-01 2.702640e-01 3.970987e-03 -0.1114 
1.6692e+06 3.2561 3.5486 0.57364 0.52491 0.4648 1.3606e+02 0 1.1535e-07 3.5486 7.239000e-01 2.702640e-01 3.970987e-03 -0.1103 
1.9320e+06 3.2960 3.5710 0.54364 0.52953 0.4648 1.2781e+02 0 1.4355e-07 3.5710 7.239000e-01 2.702640e-01 3.970987e-03 -0.0960 
2.0252e+06 3.2258 3.5961 0.53567 0.53013 0.4648 8.8433e+01 0 9.2045e-08 3.5961 7.239000e-01 2.702640e-01 3.970987e-03 999.0000 
 0.6800 10 # agb_0.68_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0193 3.5627 0.68000 0.50741 0.4672 3.3089e+01 1 2.3496e-08 3.5627 7.239000e-01 2.701870e-01 3.970255e-03 -0.1050 
1.8002e+05 3.1106 3.5522 0.67514 0.50870 0.4672 8.2195e+01 0 3.9264e-08 3.5522 7.239000e-01 2.701870e-01 3.970255e-03 -0.1069 
3.9040e+05 3.1181 3.5515 0.66821 0.51057 0.4672 8.4904e+01 0 4.1687e-08 3.5515 7.239000e-01 2.701870e-01 3.970255e-03 -0.1076 
6.0965e+05 3.1719 3.5453 0.65958 0.51283 0.4672 1.0236e+02 0 5.7943e-08 3.5453 7.239000e-01 2.701870e-01 3.970255e-03 -0.1090 
8.5412e+05 3.2029 3.5423 0.64758 0.51582 0.4672 1.1461e+02 0 7.1285e-08 3.5423 7.239000e-01 2.701870e-01 3.970255e-03 -0.1127 
1.1161e+06 3.2269 3.5406 0.63122 0.51951 0.4672 1.2559e+02 0 8.5507e-08 3.5406 7.239000e-01 2.701870e-01 3.970255e-03 -0.1154 
1.3792e+06 3.2635 3.5392 0.61009 0.52362 0.4672 1.4235e+02 0 1.1169e-07 3.5392 7.239000e-01 2.701870e-01 3.970255e-03 -0.1140 
1.6455e+06 3.2960 3.5433 0.58155 0.52831 0.4672 1.5405e+02 0 1.4289e-07 3.5433 7.239000e-01 2.701870e-01 3.970255e-03 -0.1140 
1.9032e+06 3.3330 3.5712 0.54600 0.53334 0.4672 1.3797e+02 0 1.7338e-07 3.5712 7.239000e-01 2.701870e-01 3.970255e-03 -0.0976 
1.9721e+06 3.1929 3.5993 0.53907 0.53366 0.4672 7.9451e+01 0 7.5858e-08 3.5993 7.239000e-01 2.701870e-01 3.970255e-03 999.0000 
 0.7000 10 # agb_0.70_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0073 3.5645 0.70000 0.50819 0.4708 3.1470e+01 1 2.0941e-08 3.5645 7.239000e-01 2.702100e-01 3.969099e-03 -0.1045 
1.7595e+05 3.1047 3.5535 0.69580 0.50940 0.4708 7.8052e+01 0 3.5975e-08 3.5535 7.239000e-01 2.702100e-01 3.969099e-03 -0.1065 
3.8347e+05 3.1179 3.5520 0.68974 0.51118 0.4708 8.2113e+01 0 3.9355e-08 3.5520 7.239000e-01 2.702100e-01 3.969099e-03 -0.1094 
6.0222e+05 3.1592 3.5471 0.68214 0.51336 0.4708 9.4989e+01 0 5.0582e-08 3.5471 7.239000e-01 2.702100e-01 3.969099e-03 -0.1095 
8.4054e+05 3.1954 3.5430 0.67190 0.51614 0.4708 1.0827e+02 0 6.3973e-08 3.5430 7.239000e-01 2.702100e-01 3.969099e-03 -0.1108 
1.1020e+06 3.2138 3.5415 0.65762 0.51971 0.4708 1.1661e+02 0 7.3790e-08 3.5415 7.239000e-01 2.702100e-01 3.969099e-03 -0.1146 
1.3643e+06 3.2481 3.5386 0.63922 0.52369 0.4708 1.3257e+02 0 9.4624e-08 3.5386 7.239000e-01 2.702100e-01 3.969099e-03 -0.1170 
1.6298e+06 3.2788 3.5382 0.61448 0.52821 0.4708 1.4763e+02 0 1.2023e-07 3.5382 7.239000e-01 2.702100e-01 3.969099e-03 -0.1166 
1.8868e+06 3.3170 3.5432 0.58249 0.53307 0.4708 1.6138e+02 0 1.5959e-07 3.5432 7.239000e-01 2.702100e-01 3.969099e-03 -0.1134 
2.1332e+06 3.3574 3.5902 0.54367 0.53822 0.4708 1.2338e+02 0 1.8408e-07 3.5902 7.239000e-01 2.702100e-01 3.969099e-03 999.0000 
 0.7200 10 # agb_0.72_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0349 3.5621 0.72000 0.50988 0.4739 3.3190e+01 1 2.3121e-08 3.5621 7.239000e-01 2.702290e-01 3.967946e-03 -0.1056 
1.7858e+05 3.1130 3.5533 0.71517 0.51124 0.4739 4.1003e+01 1 3.5810e-08 3.5533 7.239000e-01 2.702290e-01 3.967946e-03 -0.1090 
3.7426e+05 3.1618 3.5474 0.70890 0.51302 0.4739 9.2100e+01 0 4.7863e-08 3.5474 7.239000e-01 2.702290e-01 3.967946e-03 -0.1100 
5.9114e+05 3.2005 3.5426 0.70039 0.51539 0.4739 1.0594e+02 0 6.1094e-08 3.5426 7.239000e-01 2.702290e-01 3.967946e-03 -0.1113 
8.3926e+05 3.2127 3.5414 0.68804 0.51865 0.4739 1.1179e+02 0 6.7608e-08 3.5414 7.239000e-01 2.702290e-01 3.967946e-03 -0.1126 
1.0906e+06 3.2504 3.5372 0.67232 0.52236 0.4739 1.2896e+02 0 8.7700e-08 3.5372 7.239000e-01 2.702290e-01 3.967946e-03 -0.1161 
1.3497e+06 3.2845 3.5341 0.65107 0.52669 0.4739 1.4717e+02 0 1.1324e-07 3.5341 7.239000e-01 2.702290e-01 3.967946e-03 -0.1187 
1.6102e+06 3.3163 3.5337 0.62220 0.53158 0.4739 1.6527e+02 0 1.4689e-07 3.5337 7.239000e-01 2.702290e-01 3.967946e-03 -0.1191 
1.8582e+06 3.3575 3.5401 0.58483 0.53672 0.4739 1.8093e+02 0 2.0045e-07 3.5401 7.239000e-01 2.702290e-01 3.967946e-03 -0.1149 
2.0683e+06 3.4098 3.5868 0.54677 0.54124 0.4739 1.4233e+02 0 2.4491e-07 3.5868 7.239000e-01 2.702290e-01 3.967946e-03 999.0000 
 0.7500 11 # agb_0.75_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0564 3.5609 0.75000 0.51045 0.4758 3.4119e+01 1 2.4155e-08 3.5609 7.239000e-01 2.701490e-01 3.967454e-03 -0.1059 
1.7452e+05 3.1425 3.5509 0.74529 0.51182 0.4758 4.3127e+01 1 3.9174e-08 3.5509 7.239000e-01 2.701490e-01 3.967454e-03 -0.1078 
3.7859e+05 3.1596 3.5488 0.73846 0.51383 0.4758 8.7200e+01 0 4.3853e-08 3.5488 7.239000e-01 2.701490e-01 3.967454e-03 -0.1095 
5.9590e+05 3.2066 3.5428 0.72961 0.51635 0.4758 1.0330e+02 0 5.8614e-08 3.5428 7.239000e-01 2.701490e-01 3.967454e-03 -0.1122 
8.3369e+05 3.2435 3.5382 0.71756 0.51960 0.4758 1.1867e+02 0 7.4817e-08 3.5382 7.239000e-01 2.701490e-01 3.967454e-03 -0.1140 
1.0864e+06 3.2765 3.5341 0.70115 0.52356 0.4758 1.3523e+02 0 9.4624e-08 3.5341 7.239000e-01 2.701490e-01 3.967454e-03 -0.1173 
1.3509e+06 3.2976 3.5321 0.67835 0.52829 0.4758 1.4870e+02 0 1.1376e-07 3.5321 7.239000e-01 2.701490e-01 3.967454e-03 -0.1198 
1.6033e+06 3.3403 3.5287 0.64908 0.53326 0.4758 1.7554e+02 0 1.5812e-07 3.5287 7.239000e-01 2.701490e-01 3.967454e-03 -0.1212 
1.8501e+06 3.3768 3.5312 0.60918 0.53868 0.4758 1.9709e+02 0 2.1478e-07 3.5312 7.239000e-01 2.701490e-01 3.967454e-03 -0.1203 
2.0857e+06 3.4168 3.5664 0.55772 0.54445 0.4758 1.7039e+02 0 2.6853e-07 3.5664 7.239000e-01 2.701490e-01 3.967454e-03 -0.1026 
2.1346e+06 3.2268 3.5989 0.55001 0.54465 0.4758 8.4454e+01 0 8.7498e-08 3.5989 7.239000e-01 2.701490e-01 3.967454e-03 999.0000 
 0.8000 12 # agb_0.80_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0449 3.5645 0.80000 0.51213 0.4808 3.1491e+01 1 2.0230e-08 3.5645 7.239000e-01 2.701790e-01 3.965746e-03 -0.1039 
1.7079e+05 3.1328 3.5544 0.79610 0.51344 0.4808 3.9921e+01 1 3.2810e-08 3.5544 7.239000e-01 2.701790e-01 3.965746e-03 -0.1046 
3.7246e+05 3.1358 3.5540 0.79057 0.51535 0.4808 4.0414e+01 1 3.3729e-08 3.5540 7.239000e-01 2.701790e-01 3.965746e-03 -0.1070 
5.8502e+05 3.1812 3.5486 0.78360 0.51771 0.4808 4.5895e+01 1 4.4157e-08 3.5486 7.239000e-01 2.701790e-01 3.965746e-03 -0.1106 
8.1651e+05 3.2212 3.5434 0.77423 0.52071 0.4808 1.0066e+02 0 5.6754e-08 3.5434 7.239000e-01 2.701790e-01 3.965746e-03 -0.1130 
1.0689e+06 3.2441 3.5404 0.76115 0.52454 0.4808 1.1051e+02 0 6.6834e-08 3.5404 7.239000e-01 2.701790e-01 3.965746e-03 -0.1145 
1.3166e+06 3.2910 3.5342 0.74465 0.52869 0.4808 1.3221e+02 0 9.1622e-08 3.5342 7.239000e-01 2.701790e-01 3.965746e-03 -0.1178 
1.5723e+06 3.3205 3.5304 0.72207 0.53356 0.4808 1.5026e+02 0 1.1561e-07 3.5304 7.239000e-01 2.701790e-01 3.965746e-03 -0.1222 
1.8155e+06 3.3620 3.5256 0.69267 0.53867 0.4808 1.7859e+02 0 1.5996e-07 3.5256 7.239000e-01 2.701790e-01 3.965746e-03 -0.1240 
2.0515e+06 3.4008 3.5239 0.65132 0.54423 0.4808 2.0906e+02 0 2.2387e-07 3.5239 7.239000e-01 2.701790e-01 3.965746e-03 -0.1257 
2.2757e+06 3.4396 3.5353 0.59605 0.55010 0.4808 2.2304e+02 0 3.1046e-07 3.5353 7.239000e-01 2.701790e-01 3.965746e-03 -0.1175 
2.4212e+06 3.4843 3.5872 0.55865 0.55346 0.4808 1.6424e+02 0 3.5156e-07 3.5872 7.239000e-01 2.701790e-01 3.965746e-03 999.0000 
 0.8500 14 # agb_0.85_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0221 3.5695 0.85000 0.51356 0.4850 2.8241e+01 1 1.6181e-08 3.5695 7.239000e-01 2.702040e-01 3.964385e-03 -0.1009 
1.7009e+05 3.0991 3.5609 0.84685 0.51480 0.4850 3.4683e+01 1 2.4378e-08 3.5609 7.239000e-01 2.702040e-01 3.964385e-03 -0.1003 
3.5757e+05 3.1411 3.5560 0.84279 0.51642 0.4850 3.8919e+01 1 3.0903e-08 3.5560 7.239000e-01 2.702040e-01 3.964385e-03 -0.1019 
5.7368e+05 3.1553 3.5543 0.83707 0.51872 0.4850 4.0579e+01 1 3.3806e-08 3.5543 7.239000e-01 2.702040e-01 3.964385e-03 -0.1073 
7.9929e+05 3.1939 3.5496 0.82987 0.52146 0.4850 4.5274e+01 1 4.2560e-08 3.5496 7.239000e-01 2.702040e-01 3.964385e-03 -0.1103 
1.0399e+06 3.2278 3.5453 0.82036 0.52481 0.4850 9.5329e+01 0 5.2602e-08 3.5453 7.239000e-01 2.702040e-01 3.964385e-03 -0.1132 
1.2832e+06 3.2711 3.5395 0.80820 0.52860 0.4850 1.1207e+02 0 6.9502e-08 3.5395 7.239000e-01 2.702040e-01 3.964385e-03 -0.1154 
1.5358e+06 3.3037 3.5351 0.79174 0.53308 0.4850 1.2769e+02 0 8.7297e-08 3.5351 7.239000e-01 2.702040e-01 3.964385e-03 -0.1173 
1.7837e+06 3.3366 3.5304 0.77032 0.53800 0.4850 1.4697e+02 0 1.1194e-07 3.5304 7.239000e-01 2.702040e-01 3.964385e-03 -0.1228 
2.0200e+06 3.3748 3.5252 0.74204 0.54319 0.4850 1.7335e+02 0 1.5101e-07 3.5252 7.239000e-01 2.702040e-01 3.964385e-03 -0.1257 
2.2471e+06 3.4134 3.5207 0.70272 0.54878 0.4850 2.0652e+02 0 2.1086e-07 3.5207 7.239000e-01 2.702040e-01 3.964385e-03 -0.1298 
2.4612e+06 3.4535 3.5208 0.65005 0.55463 0.4850 2.4214e+02 0 3.0479e-07 3.5208 7.239000e-01 2.702040e-01 3.964385e-03 -0.1282 
2.6637e+06 3.4928 3.5534 0.58105 0.56077 0.4850 2.1849e+02 0 4.0087e-07 3.5534 7.239000e-01 2.702040e-01 3.964385e-03 -0.1068 
2.7255e+06 3.4201 3.5899 0.56663 0.56144 0.4850 1.3717e+02 0 2.3933e-07 3.5899 7.239000e-01 2.702040e-01 3.964385e-03 999.0000 
 0.9000 13 # agb_0.90_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0723 3.5667 0.90000 0.51570 0.4820 3.0676e+01 1 1.8967e-08 3.5667 7.229000e-01 2.711650e-01 3.972879e-03 -0.1023 
1.6775e+05 3.1421 3.5588 0.89643 0.51709 0.4820 3.7018e+01 1 2.7669e-08 3.5588 7.229000e-01 2.711650e-01 3.972879e-03 -0.1019 
3.5369e+05 3.1832 3.5539 0.89182 0.51894 0.4820 4.1464e+01 1 3.4995e-08 3.5539 7.229000e-01 2.711650e-01 3.972879e-03 -0.1038 
5.6874e+05 3.1974 3.5521 0.88521 0.52158 0.4820 4.3293e+01 1 3.8371e-08 3.5521 7.229000e-01 2.711650e-01 3.972879e-03 -0.1073 
7.9382e+05 3.2409 3.5468 0.87671 0.52477 0.4820 4.8982e+01 1 4.9774e-08 3.5468 7.229000e-01 2.711650e-01 3.972879e-03 -0.1117 
1.0335e+06 3.2757 3.5420 0.86531 0.52868 0.4820 1.0417e+02 0 6.2373e-08 3.5420 7.229000e-01 2.711650e-01 3.972879e-03 -0.1144 
1.2704e+06 3.3258 3.5352 0.85091 0.53296 0.4820 1.2568e+02 0 8.6099e-08 3.5352 7.229000e-01 2.711650e-01 3.972879e-03 -0.1164 
1.5153e+06 3.3606 3.5300 0.83122 0.53802 0.4820 1.4523e+02 0 1.1092e-07 3.5300 7.229000e-01 2.711650e-01 3.972879e-03 -0.1212 
1.7524e+06 3.3959 3.5246 0.80532 0.54350 0.4820 1.6976e+02 0 1.4588e-07 3.5246 7.229000e-01 2.711650e-01 3.972879e-03 -0.1264 
1.9797e+06 3.4322 3.5190 0.76932 0.54939 0.4820 2.0169e+02 0 1.9861e-07 3.5190 7.229000e-01 2.711650e-01 3.972879e-03 -0.1305 
2.1898e+06 3.4764 3.5137 0.72159 0.55537 0.4820 2.4728e+02 0 2.9376e-07 3.5137 7.229000e-01 2.711650e-01 3.972879e-03 -0.1327 
2.3916e+06 3.5150 3.5155 0.65425 0.56180 0.4820 2.8962e+02 0 4.3551e-07 3.5155 7.229000e-01 2.711650e-01 3.972879e-03 -0.1269 
2.5709e+06 3.5639 3.5857 0.57347 0.56800 0.4820 1.9424e+02 0 5.2119e-07 3.5857 7.229000e-01 2.711650e-01 3.972879e-03 999.0000 
 0.9500 15 # agb_0.95_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0680 3.5699 0.95000 0.51706 0.4678 2.8937e+01 1 1.6866e-08 3.5699 7.201000e-01 2.739320e-01 3.994501e-03 -0.1003 
1.6376e+05 3.1350 3.5625 0.94701 0.51838 0.4678 3.4590e+01 1 2.4099e-08 3.5625 7.201000e-01 2.739320e-01 3.994501e-03 -0.0997 
3.5383e+05 3.1520 3.5605 0.94281 0.52028 0.4678 3.6286e+01 1 2.6607e-08 3.5605 7.201000e-01 2.739320e-01 3.994501e-03 -0.1009 
5.5539e+05 3.2006 3.5547 0.93749 0.52266 0.4678 4.1486e+01 1 3.4995e-08 3.5547 7.201000e-01 2.739320e-01 3.994501e-03 -0.1051 
7.7551e+05 3.2413 3.5498 0.93035 0.52570 0.4678 4.6516e+01 1 4.4463e-08 3.5498 7.201000e-01 2.739320e-01 3.994501e-03 -0.1086 
1.0100e+06 3.2771 3.5452 0.92084 0.52943 0.4678 5.1651e+01 1 5.5463e-08 3.5452 7.201000e-01 2.739320e-01 3.994501e-03 -0.1124 
1.2505e+06 3.3141 3.5400 0.90837 0.53376 0.4678 1.1053e+02 0 7.0469e-08 3.5400 7.201000e-01 2.739320e-01 3.994501e-03 -0.1142 
1.4919e+06 3.3508 3.5349 0.89207 0.53866 0.4678 1.2769e+02 0 9.0573e-08 3.5349 7.201000e-01 2.739320e-01 3.994501e-03 -0.1172 
1.7257e+06 3.3895 3.5290 0.87108 0.54398 0.4678 1.4994e+02 0 1.1940e-07 3.5290 7.201000e-01 2.739320e-01 3.994501e-03 -0.1239 
1.9494e+06 3.4288 3.5228 0.84320 0.54966 0.4678 1.7808e+02 0 1.6144e-07 3.5228 7.201000e-01 2.739320e-01 3.994501e-03 -0.1272 
2.1630e+06 3.4669 3.5167 0.80447 0.55573 0.4678 2.1362e+02 0 2.2336e-07 3.5167 7.201000e-01 2.739320e-01 3.994501e-03 -0.1324 
2.3631e+06 3.5080 3.5106 0.75230 0.56204 0.4678 2.6256e+02 0 3.2810e-07 3.5106 7.201000e-01 2.739320e-01 3.994501e-03 -0.1354 
2.5515e+06 3.5478 3.5107 0.67890 0.56864 0.4678 3.1476e+02 0 4.9888e-07 3.5107 7.201000e-01 2.739320e-01 3.994501e-03 -0.1302 
2.7282e+06 3.5861 3.5842 0.58137 0.57549 0.4678 2.0434e+02 0 5.7810e-07 3.5842 7.201000e-01 2.739320e-01 3.994501e-03 -0.1020 
2.7289e+06 3.9132 3.5948 0.58055 0.57551 0.4678 3.8649e+02 0 3.3884e-06 3.5948 7.201000e-01 2.739320e-01 3.994501e-03 999.0000 
 1.0000 15 # agb_1.00_Z0.00600000_Mdot48_eta8.00_Mc0.00_dMc0.00_Tbd6.60_L0.00_dL0.00_C0.00_Nr3.00_rates0_KOPv_KMOLv.dat 
0.0000e+00 3.0793 3.5712 1.00000 0.51822 0.4549 2.8488e+01 1 1.6368e-08 3.5712 7.181000e-01 2.760150e-01 4.011352e-03 -0.0993 
1.5961e+05 3.1635 3.5620 0.99709 0.51957 0.4549 3.5604e+01 1 2.5527e-08 3.5620 7.181000e-01 2.760150e-01 4.011352e-03 -0.0989 
3.4785e+05 3.1830 3.5598 0.99291 0.52156 0.4549 3.7596e+01 1 2.8510e-08 3.5598 7.181000e-01 2.760150e-01 4.011352e-03 -0.1011 
5.4809e+05 3.2285 3.5544 0.98759 0.52406 0.4549 4.2630e+01 1 3.6983e-08 3.5544 7.181000e-01 2.760150e-01 4.011352e-03 -0.1043 
7.6706e+05 3.2671 3.5497 0.98045 0.52728 0.4549 4.7519e+01 1 4.6452e-08 3.5497 7.181000e-01 2.760150e-01 4.011352e-03 -0.1078 
9.9997e+05 3.3027 3.5450 0.97089 0.53122 0.4549 5.2738e+01 1 5.7810e-08 3.5450 7.181000e-01 2.760150e-01 4.011352e-03 -0.1115 
1.2380e+06 3.3399 3.5399 0.95841 0.53578 0.4549 5.9016e+01 1 7.3451e-08 3.5399 7.181000e-01 2.760150e-01 4.011352e-03 -0.1142 
1.4811e+06 3.3688 3.5357 0.94165 0.54109 0.4549 1.2572e+02 0 8.9950e-08 3.5357 7.181000e-01 2.760150e-01 4.011352e-03 -0.1170 
1.7046e+06 3.4167 3.5285 0.92137 0.54645 0.4549 1.5218e+02 0 1.2503e-07 3.5285 7.181000e-01 2.760150e-01 4.011352e-03 -0.1225 
1.9255e+06 3.4532 3.5225 0.89343 0.55247 0.4549 1.7902e+02 0 1.6558e-07 3.5225 7.181000e-01 2.760150e-01 4.011352e-03 -0.1270 
2.1333e+06 3.4915 3.5160 0.85529 0.55876 0.4549 2.1500e+02 0 2.2856e-07 3.5160 7.181000e-01 2.760150e-01 4.011352e-03 -0.1319 
2.3264e+06 3.5344 3.5086 0.80429 0.56526 0.4549 2.6715e+02 0 3.3806e-07 3.5086 7.181000e-01 2.760150e-01 4.011352e-03 -0.1370 
2.5094e+06 3.5731 3.5044 0.73203 0.57210 0.4549 3.2909e+02 0 5.1286e-07 3.5044 7.181000e-01 2.760150e-01 4.011352e-03 -0.1339 
2.6805e+06 3.6109 3.5246 0.62791 0.57918 0.4549 3.4335e+02 0 7.6913e-07 3.5246 7.181000e-01 2.760150e-01 4.011352e-03 -0.1264 
2.7585e+06 3.6191 3.5876 0.58670 0.58138 0.4549 2.1166e+02 0 6.6988e-07 3.5876 7.181000e-01 2.760150e-01 4.011352e-03 999.0000 
